10,0.0002658367156982422,0.27087831497192383,0.19893288612365723,True
20,0.0020399093627929688,0.16689372062683105,0.4189941883087158,True
30,0.006956815719604492,0.39944911003112793,0.8298659324645996,True
40,0.016554594039916992,0.721743106842041,1.7150859832763672,True
50,0.03191709518432617,1.4849159717559814,3.476649045944214,True
60,0.057085275650024414,2.591444969177246,5.126866817474365,True
70,0.08828997611999512,4.508800983428955,11.982063055038452,True
80,0.12906503677368164,7.269840955734253,19.3034770488739,True
90,0.1880502700805664,11.427761793136597,30.321218252182007,True
100,0.25209903717041016,17.358669757843018,46.98665690422058,True
