time,power,current,voltage,up_time,daily_total
1663058286,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058287,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058288,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058289,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058290,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058291,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058292,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058293,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058294,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058295,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058296,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058297,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058298,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058299,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058300,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058301,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058302,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058303,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058304,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058305,1.337744951248169,0.007979040034115314,243.05862426757812,2196.2080078125,0.020456161350011826
1663058306,1.0414557456970215,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058307,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058308,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058309,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058310,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058311,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058312,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058313,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058314,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058315,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058316,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058317,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058318,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058319,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058320,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058321,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058322,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058323,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058324,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058325,1.337744951248169,0.007979040034115314,241.89266967773438,2196.2080078125,0.020462360233068466
1663058326,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058327,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058328,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058329,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058330,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058331,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058332,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058333,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058334,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058335,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058336,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058337,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058338,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058339,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058340,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058341,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058342,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058343,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
1663058344,1.0414557456970215,0.007979040034115314,241.07920837402344,2256.205078125,0.02046855539083481
